CS1,CS2,CS3,CS4,CS5,CS6,Energie,Poids,N° image
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.025088236992663,3901.67185648585,1
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0430019921024041,3159.11908713005,2
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0213685771135833,3575.89511085935,3
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0446544239098974,3276.26867962157,4
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.03676773363359,3173.97848763321,5
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0269764222501871,3254.83578390381,6
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0344833766565628,3139.00676720819,7
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0445254356539044,3229.58016781719,8
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0214169470004286,3522.61982727537,9
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0230178847783139,3446.39849028599,10
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0238988740021472,3341.0085038929,11
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0250297656547866,3311.58109195797,12
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0394191001368432,3084.2546435902,13
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0206782085907026,3315.13483217717,14
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.044866323315052,3113.27380445927,15
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0270013211298596,3180.64997101379,16
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0440777857254248,3267.69921150034,17
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0436172643725261,3174.02570590635,18
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0271517634635281,3194.31027717923,19
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.028134503057416,3200.26614203124,20
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0367377241711264,3298.15127287855,21
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0432430688830401,3064.46133051584,22
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0234028132691264,3235.2628999487,23
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0296619723113683,3221.09646388763,24
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0442098084684602,3060.23859337047,25
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0222388101873509,3627.52308037867,26
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0444214189519192,3073.28525344704,27
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0409325076669117,3084.74250066764,28
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.027411970705685,3180.13824450388,29
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0225983897011344,3599.8026026767,30
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0402688880938646,3182.49889135235,31
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0386208556537427,3117.87654789889,32
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0308380529265041,3272.63385512531,33
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0449799053953236,3060.811665962,34
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0424974524540437,3138.88195539672,35
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0234963072420823,3272.3607791597,36
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.021681989434076,3400.62685272878,37
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0394364139965823,3149.46311554579,38
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0223787015360151,3462.59507240057,39
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0200493585664162,3405.07719168026,40
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0397951605512737,3087.32693810913,41
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0400080772731847,3188.8266268639,42
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0206310899038977,3370.27014731066,43
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0204891040623346,3347.76929615333,44
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0327064354591588,3127.68861979004,45
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.020181128764274,3369.14507041242,46
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0424551004787918,3125.03599698526,47
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0221459431174132,3460.23633974045,48
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0231485719418768,3744.02227197459,49
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0276550061097009,3361.15747966064,50
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0248093284745588,3226.12683374868,51
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0404945740598272,3292.91660543693,52
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0342542765327832,3147.23063280206,53
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0202554263993692,3357.3943025209,54
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0449252490867131,3093.36625484639,55
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0413036762042192,3102.26816566772,56
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0439903759053095,3184.70578092652,57
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0448382676385919,3097.21530689441,58
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0285579907401728,3162.37720242969,59
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0209121802890117,3540.25144620454,60
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0335298900626369,3192.50637295922,61
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0440259609659583,3158.90607664878,62
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0275524254204741,3270.10115498418,63
0.022575,0.022575,0.022575,0.022575,0.022575,0.022575,0.0446501470327578,3085.40064963397,64
